,Make,Model,Year of manufacture,Kilometer,Previous owners,Body style,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
6025,Elva,Mk VII,1989,40234,2,Racing car (Open),220,3100,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23496
6028,Porsche,911 Carrera 4S,2021,9000,1,Coupe,450,2981,6,2,Left (LHD),Manual,8,4WD,Disc,Disc,Petrol,160993
6029,BMW,Z8,2002,73971,1,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,204504
6039,Triumph,TR 6,1973,34794,5,Convertible (Roadster),106,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,30415
6040,TVR,"Chimaera 4,0",1996,74996,1,Convertible,240,3950,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,37376
6042,Mercedes-Benz,450 SL,1974,148724,2,Convertible (Roadster),225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,34766
6049,Citroën,2 CV 6 Club,1991,44,6,Saloon (4-doors),29,597,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
6054,Mercedes-Benz,190 SL,1959,6650,6,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,106603
6062,Volvo,XC70 2.5T AWD,2004,147000,2,Estate,210,2521,5,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,10399
6101,Alpine,A 110 GT,2022,38,1,Coupe,300,1798,4,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,119657
6110,Aston Martin,"Vantage V8 ""007 Edition""",2021,750,1,Coupe,510,3982,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,190580
6120,Mercedes-Benz,SL 350,2010,145906,3,Convertible (Roadster),316,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,29490
6124,Ferrari,Testarossa,1991,56000,2,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,104419
6126,McLaren,675LT,2016,63,6,Coupe,675,3799,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,274122
6129,FIAT,500 C Giardiniera,1900,6011,6,Estate,16,569,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,8702
6130,FIAT,500 B Furgonato,1954,99263,6,Estate (Panel Van),16,569,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,17318
6135,BMW,327,1938,32448,1,Convertible,55,1971,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,143501
6147,Bentley,Turbo R,1995,81381,6,Saloon (4-doors),360,6750,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26020
6151,BMW,1600 - 2,1970,84785,3,Convertible (2-doors),130,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24279
6159,Mercedes-Benz,220 S Cabriolet,1956,64845,1,Convertible,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,82672
6168,Citroën,HY,1965,54000,2,Bus,58,1,4,3,Left (LHD),Manual,3,Front,Drum,Drum,Petrol,40901
6188,Subaru,Impreza WRX STi spec C TYPE RA-R,2006,146948,2,Saloon,229,2457,4,4,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,20450
6198,Ferrari,456M GT,2002,60082,3,Coupe,442,5,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,73883
6230,Mercedes-Benz,450 SL,1980,138029,2,Convertible (Roadster),217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,19406
6248,Porsche,911 Turbo 3.3,1978,2000,1,Coupe,410,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,117481
6253,Porsche,911 Carrera S,2007,79000,1,Coupe,355,3824,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,55695
6259,Porsche,911 Turbo,2008,90000,1,Coupe,480,3600,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,100076
6264,Chrysler,Sebring 2.7 V6,2002,118000,1,Convertible,203,2736,6,2,Left (LHD),Automatic,4,Front,Disc,Disc,Petrol,4177
6276,Honda,S 2000,2005,59300,1,Convertible (Roadster),241,1997,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43424
6278,Aston Martin,V12 Vanquish S,2005,59905,2,Coupe,528,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,143501
6279,Bentley,Continental Flying Spur,2005,27500,1,Saloon (4-doors),560,5998,12,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,43424
6281,Lamborghini,Gallardo LP 560-4,2008,50300,3,Coupe,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,100860
6283,Ferrari,488 GTB,2016,33300,2,Coupe,670,3902,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,178310
6284,Mercedes-Benz,G 63 AMG (LWB),2016,64100,1,4x4,571,5461,8,4,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,78234
6285,Porsche,911 Turbo 3.3,1988,132600,3,Coupe,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,173959
6286,Audi,TT 1.8 T quattro sport,2005,54700,4,Coupe,240,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,39073
6322,Mercedes-Benz,"280 SE 3,5",1970,56120,2,Coupe,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,69183
6356,Lamborghini,Diablo VT 6.0,2000,7497,3,Coupe,550,5992,12,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,465573
6360,Porsche,911 GT2,2008,111145,2,Coupe,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,169695
6410,Bentley,Bentayga W12,2018,41843,2,4x4,608,5950,12,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,100000
6439,Morgan,Plus Six,2021,5734,1,Convertible (Roadster),340,2998,6,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,62500
6444,Morgan,Plus 4 2-Seater,1998,39641,3,Convertible (Roadster),135,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,28000
6457,Mercedes-Benz,220 SE b,1965,77454,6,Coupe,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,51779
6458,Land Rover,90,1987,5693,2,4x4 (Open),240,3900,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,126183
6463,Jaguar,XJ-SC 5.3,1987,65620,3,Convertible (Targa),265,5343,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,25237
6473,Ferrari,Testarossa,1987,129206,2,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,106603
6475,Mercedes-Benz,190 SL,1959,98856,4,Convertible (Roadster),105,1886,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,121745
6485,Mercedes-Benz,190 SL,1962,65000,3,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
6501,Mercedes-Benz,220 S Cabriolet,1957,50188,6,Convertible,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,113086
6502,Jaguar,XJ 8 3.5,2007,142223,6,Saloon (4-doors),258,3555,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26020
6506,Porsche,911 2.2 T,1970,73971,2,Coupe,125,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,60829
6525,Alfa Romeo,Giulia 1600 Sprint GT Veloce,1967,72358,1,Coupe,122,1570,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,60699
6526,ISO,Rivolta 300,1967,17935,6,Coupe,304,5763,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130099
6570,Mercedes-Benz,190 SL,1960,80545,3,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,116611
6578,Mercedes-Benz,500 SL,1988,95040,6,Convertible (Roadster),245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46775
6582,Ferrari,512 BB,1980,57367,6,Coupe,360,4942,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,260634
6594,Mercedes-Benz,500 SLC,1980,151500,2,Coupe,240,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,52127
6595,Riley,Nine Monaco,1931,6379,5,Saloon (4-doors),29,1087,4,1,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,40031
6617,Mercedes-Benz,CL 63 AMG,2002,27379,1,Coupe,525,6208,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,119657
6619,Jaguar,XJ-S H.E.,1982,144430,2,Coupe,299,5343,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,12140
6620,Ferrari,California,2010,65190,3,Convertible,460,4297,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,103992
6624,Porsche,911 Carrera 3.0,1977,73971,1,Coupe,200,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,69444
6641,Mercedes-Benz,500 SL,1982,224500,3,Convertible (Roadster),231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,43424
6651,Morgan,Roadster V6,2010,65600,1,Convertible (Roadster),228,2967,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,63527
6680,Mercedes-Benz,"G 65 AMG ""Final Edition""",2018,8500,1,4x4,630,5980,12,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,321985
6693,Austin-Healey,100/4M (BN2),1955,117,6,Convertible,110,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102252
6709,Aston Martin,DBS,2010,38750,2,Coupe,517,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,86950
6726,Mercedes-Benz,380 SL,1985,130579,2,Convertible (Roadster),204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,41336
6748,Bentley,Continental GTC,2007,6631,1,Convertible,560,5998,12,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,100076
6752,Jaguar,Mk II 3.8,1960,69000,3,Saloon (4-doors),224,3781,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,59089
6776,Ferrari,330 GT 2+2,1964,136500,6,Coupe,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,278474
6778,Mercedes-Benz,500 SL,1985,999999,6,Convertible (Roadster),245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,38290
6786,Porsche,911 R,1967,152102,2,Coupe,210,1991,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
6788,Porsche,928,1979,109088,2,Coupe,240,4474,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,34766
6789,Jaguar,XJ 8 4.2,2004,195854,6,Saloon (4-doors),298,4196,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,13489
6794,Mercedes-Benz,560 SL,1985,195575,2,Convertible (Roadster),230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,34374
6802,Mercedes-Benz,190 SL,1961,81596,3,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,130447
6811,Lancia,Aprilia,1938,6000,4,Saloon (4-doors),47,1352,4,4,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,33069
6878,BMW,M 635 CSi,1984,187000,3,Coupe,286,3430,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,51344
6888,Mercedes-Benz,500 SL,1985,120500,2,Convertible (Roadster),245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,69531
6893,Mercedes-Benz,190 SL,1958,73971,2,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102644
6938,Porsche,911 Carrera,2016,58000,1,Convertible,370,2981,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,95725
6943,Porsche,911 Carrera S,2006,147000,2,Coupe,355,3824,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,47863
6947,Porsche,911 Turbo,2007,52000,2,Convertible,480,3600,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,86153
6949,Porsche,"Boxster S ""50 Jahre 550 Spyder""",2004,76000,3,Convertible (Roadster),265,3179,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,36115
6955,Porsche,911 Targa 4S,2016,43000,1,Convertible (Targa),420,2981,6,2,Left (LHD),Manual,7,4WD,Disc,Disc,Petrol,129664
6985,Alfa Romeo,8C Spider,2010,6751,1,Convertible (Roadster),450,4691,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,243229
7001,Ferrari,365 GT4 2+2,1974,88007,6,Coupe,340,4390,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86588
7003,Alfa Romeo,Montreal,1973,78660,6,Coupe,195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,77886
7006,Mercedes-Benz,420 SL,1985,117815,3,Convertible (Roadster),218,4196,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46905
7015,Aston Martin,V12 Vanquish S,2007,37026,4,Coupe,528,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,99950
7019,Jaguar,XK,2011,59525,5,Coupe,385,4997,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,43337
7023,Bentley,Azure Mulliner,1998,56327,3,Convertible,426,6750,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,100000
7032,Bentley,R-Type,1955,76239,6,Saloon (4-doors),137,4900,6,0,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,39160
7034,Porsche,911 Carrera,2006,92281,6,Convertible,325,3596,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,46079
7043,BMW,Z8,2000,26889,2,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,207985
7047,Volvo,V 70 XC 2.4T,2000,361745,6,Estate,200,2435,5,5,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,4743
7090,Bentley,Continental GT Speed,2013,62405,3,Coupe,625,5998,12,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,95290
7093,Ferrari,456 GT,1994,110674,6,Coupe,442,5474,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,60873
7094,Volkswagen,T1 minibus,1966,47686,1,Bus,75,1776,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,72621
7096,Ferrari,328 GTS,1987,57390,6,Convertible (Targa),255,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,103992
7098,Ferrari,575M Maranello,2002,46203,6,Coupe,515,5748,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,295443
7099,Ferrari,348 TS,1989,79230,1,Coupe (Targa),300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,63092
7119,Aston Martin,V12 Vantage S,2017,24913,2,Coupe,573,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,136950
7120,BMW,Z8,2002,73971,3,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,213206
7126,Mercedes-Benz,300 S,1954,83709,1,Coupe,150,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,291527
7151,Lamborghini,Countach LP 5000 S QV,1988,57902,6,Coupe,455,5167,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,648321
7152,Lamborghini,Diablo VT Roadster,1996,35439,6,Convertible (Roadster),492,5707,12,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,382466
7163,Bentley,Mulsanne,2012,104129,2,Saloon (4-doors),512,6752,8,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,103557
7165,Jaguar,XK 140 OTS,1956,14520,3,Convertible (Roadster),193,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,145764
7176,Land Rover,Defender 130 Double Cab,1993,90000,3,4x4 (Pick-up),122,2402,4,4,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,77450
7178,Mercedes-Benz,500 SLC,1981,142000,3,Coupe,240,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,41771
7181,Volkswagen,T1 panel van,1967,69764,6,Bus (Panel Van),1,1,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,45687
7183,Mercedes-Benz,560 SL,1987,107245,6,Convertible (Roadster),242,5600,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26063
7189,Mercedes-Benz,560 SL,1988,203529,6,Convertible (Roadster),230,5549,8,1,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,17361
7205,Mercedes-Benz,190 SL,1956,30605,6,Convertible (Roadster),105,1900,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,104384
7257,Volkswagen,T1 Samba,1965,62000,2,Bus,51,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,86588
7258,Citroën,2 CV 6 Club,1981,67000,2,Saloon (4-doors),29,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,13053
7260,Ferrari,Testarossa,1987,54497,6,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,125748
7261,Bentley,Continental GTC V8,2014,70300,2,Convertible,507,3993,8,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,103992
7262,Bentley,Continental GT Supersports,2010,73480,5,Coupe,630,5998,12,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,69575
7312,Morgan,Plus 4 4-seater,1994,73971,6,Convertible (Roadster),100,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,25895
7341,Porsche,911 Carrera 4S,2008,79000,1,Convertible,355,3824,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,60046
7361,Mazda,MX-5 2.0,2017,96081,6,Convertible (Roadster),160,1998,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,20446
7380,Mercedes-Benz,240 GD Wolf,1989,73971,3,4x4 (Military vehicle),72,2400,4,3,Left (LHD),Manual,4,4WD,Disc,Drum,Diesel,19928
7396,Bentley,Arnage R,2004,85000,6,Saloon (4-doors),405,6761,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,38247
7399,Jaguar,F-Type R,2014,30000,2,Coupe,550,5000,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,62221
7400,Porsche,718 Cayman GT4 RS,2022,85,1,Coupe,500,3996,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,191451
7401,Porsche,911 Targa 4S,2017,71105,3,Convertible (Targa),420,2981,6,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,113122
7406,Porsche,911 Turbo (WLS),2004,88270,1,Convertible,450,3598,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,81724
7414,Mercedes-Benz,380 SL,1983,191512,1,Convertible (Roadster),204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23409
7422,Ferrari,348 TS,1992,20600,2,Coupe (Targa),300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,97379
7429,Aston Martin,DBS,2008,30331,2,Coupe,517,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,124950
7438,Volkswagen,Beetle 1303,1975,83500,2,Convertible,37,1192,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,23409
7447,Ferrari,328 GTS,1987,101492,6,Convertible (Targa),270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,77886
7450,Mercedes-Benz,220 SE,1960,36798,6,Coupe,120,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,71794
7453,Jaguar,Mk II 3.8,1961,51483,1,Saloon (4-doors),224,3781,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24236
7454,Triumph,TR 6,1971,102916,3,Convertible (Roadster),165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,27847
7507,Jaguar,XK,2014,59788,1,Convertible,385,5000,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,60873
7510,Plymouth,Prowler,1999,32644,6,Convertible (Roadster),255,3518,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46992
7557,Jaguar,XKR Silverstone,2000,90300,3,Coupe,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,39073
7570,Mercedes-Benz,220 SE b,1965,36000,1,Saloon (4-doors),120,2195,6,4,Left (LHD),Automatic,4,Rear,Disc,Drum,Petrol,25663
7607,Ferrari,Testarossa,1989,28607,1,Coupe,390,4943,12,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,152290
7634,Land Rover,90,1989,12262,2,4x4 (Open),215,3532,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,121832
7662,Austin-Healey,Sprite Mk I,1959,73971,3,Convertible (Roadster),44,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,13837
7664,Mercedes-Benz,170 S Cabriolet A,1950,34639,4,Convertible,52,1767,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,152290
7701,Volkswagen,Golf V 3.2 R32,2006,90123,1,Saloon (3-doors),250,3189,6,3,Right (RHD),Manual,6,4WD,Disc,Disc,Petrol,16995
7712,Jaguar,XK8 4.0,2001,149,3,Convertible,284,3,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16421
7722,Mercedes-Benz,220 S Cabriolet,1959,7800,4,Convertible,106,2195,6,2,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,74161
7725,Chevrolet,Corvette Stingray,2022,5184,1,Convertible (Roadster),482,6162,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,103977
7731,Mercedes-Benz,190 SL,1960,73971,1,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102687
7734,Mercedes-Benz,190 Dc,1963,60900,3,Saloon (4-doors),55,1988,4,4,Left (LHD),Automatic,4,Rear,Drum,Drum,Diesel,34374
7743,BMW,1600 - 2,1971,74315,6,Convertible (2-doors),85,1563,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,59611
7744,Rolls-Royce,Silver Seraph,1998,115269,6,Saloon (4-doors),326,5400,12,0,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,51779
7771,Mercedes-Benz,CL 55 AMG,2003,98315,2,Coupe,500,5439,8,2,Left (LHD),Semi-Automatic,5,Rear,Disc,Disc,Petrol,33504
7778,Alfa Romeo,6C 2500 Freccia d`Oro Sport,1947,47927,6,Coupe,90,2443,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,256718
7780,Mercedes-Benz,SL 500,2002,73840,6,Convertible (Roadster),306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,30415
7781,BMW,635 CSi,1979,81669,1,Coupe,218,3453,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43468
7789,Porsche,924 Turbo,1981,102000,3,Coupe,177,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,18209
7809,Maserati,GranTurismo Sport,2013,62000,3,Coupe,460,4691,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,62221
7819,Mercedes-Benz,560 SL,1987,107600,2,Convertible (Roadster),230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,19406
7825,Porsche,924,1977,132355,3,Coupe,125,1984,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,9573
7828,Innocenti,Mini Cooper 1300,1975,79976,2,Saloon (2-doors),105,1275,4,2,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,42206
7831,Mercedes-Benz,220 SE Cabriolet,1958,65129,1,Convertible,115,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,126183
7832,Volkswagen,T1 Brasil,1975,23382,1,Bus,44,1483,4,6,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,47863
7833,Porsche,911 2.2 T,1970,219000,2,Coupe,125,2195,6,2,Left (LHD),Semi-Automatic,4,Rear,Disc,Disc,Petrol,102252
7835,Land Rover,Range Rover P530,2023,161,1,4x4,530,4395,8,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,240000
7837,Rolls-Royce,Wraith,2016,54235,2,Coupe,632,6592,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,170000
7842,Lamborghini,Gallardo LP 560-4 Spyder,2012,12500,1,Convertible (Roadster),560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,127837
7843,Wiesmann,Roadster MF5,2012,9900,1,Convertible (Roadster),661,4935,8,2,Left (LHD),Manual,7,Rear,Disc,Disc,Petrol,251496
7858,Mercedes-Benz,500 SL,1983,82469,6,Convertible (Roadster),231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,36985
7864,Citroën,2 CV 6 Club,1986,124,6,Saloon (4-doors),33,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
7871,Porsche,356 C 1600,1964,3442,6,Coupe,75,1600,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,86588
