,Make,Model,Year of manufacture,Kilometer,Previous owners,Body style,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
7890,Mercedes-Benz,190 SL,1957,12400,2,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
7897,Porsche,911 2.2 S,1970,1200,5,Convertible (Targa),180,2195,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,248016
7903,Porsche,911 Turbo 3.0,1976,80756,6,Coupe,260,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130491
7904,Porsche,"911 2.4 T ""Oilflap""",1972,36434,6,Coupe,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,117046
7918,Alfa Romeo,Giulietta Sprint,1961,27738,3,Coupe,112,1570,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,53954
7964,Ferrari,550 Maranello,1998,74133,6,Coupe,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,110954
7966,Austin-Healey,100/4M (BN2),1954,24062,5,Convertible,110,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,95290
7982,BMW,Z4 Coupé 3.0si,2006,25265,2,Coupe,265,2996,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,29007
7984,Mercedes-Benz,230 G (SWB),1981,74253,2,4x4,90,2307,4,3,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,43042
7997,Volkswagen,T1 Samba,1966,4600,2,Bus,44,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,59089
7999,Volkswagen,Golf IV 2.8 V6 4Motion,2000,33000,2,Saloon,204,2792,6,5,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14707
8043,Lotus,Elise Sport 220,2020,2,1,Convertible (Roadster),220,1798,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,58044
8060,Porsche,911 SC 3.0,1981,121500,2,Coupe,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,64832
8065,Ferrari,Testarossa,1986,27198,1,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,139995
8082,Jaguar,Sovereign H.E. V12,1985,97000,2,Saloon (4-doors),295,5343,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,17231
8142,MG,MGB,1977,62033,1,Convertible (Roadster),63,1798,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,28282
8145,Porsche,911 SC 3.0,1980,176978,6,Convertible (Targa),204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,54389
8146,Ferrari,308 GTBi,1980,109748,6,Coupe,205,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,67443
8172,Cadillac,Fleetwood Eldorado Convertible,1971,155883,6,Convertible,370,8200,8,2,Left (LHD),Automatic,3,Front,Disc,Drum,Petrol,33895
8197,Aston Martin,DB 7 GTA,2004,52500,1,Coupe,420,5935,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,93550
8282,Volkswagen,Beetle 1303,1972,73971,1,Convertible,44,1285,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,26020
8303,Land Rover,Defender 110 Td5,2007,150000,1,4x4,122,2498,5,2,Left (LHD),Manual,5,4WD,Disc,Disc,Diesel,23931
8314,Mercedes-Benz,220 SE b,1965,73971,6,Coupe,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,76145
8339,Mercedes-Benz,190 SL,1960,18898,3,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,91287
8350,MG,RV8,1995,68000,2,Convertible (Roadster),192,3946,8,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,37855
8360,Ferrari,328 GTS,1989,5900,2,Convertible (Targa),270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,152290
8362,FIAT,500 L,1969,49030,2,Saloon (2-doors),18,594,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,11309
8368,Triumph,TR 6,1973,139376,1,Convertible (Roadster),165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21321
8369,MG,F Trophy 160,2010,6731,2,Convertible,160,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,19972
8370,BMW,Z8,2001,996,6,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,304145
8372,Jaguar,Mk II 3.8,1960,20693,5,Saloon (4-doors),224,3781,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,40857
8404,Ferrari,308 GTBi,1981,40468,3,Coupe,205,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,78321
8420,Porsche,"911 SC 3.0 ""50 Jahre Porsche""",1981,156000,2,Coupe,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,69531
8432,Mercedes-Benz,220 SE Cabriolet,1960,23000,3,Convertible,115,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,95725
8441,Porsche,356 C 1600 SC,1963,49619,6,Coupe,95,1582,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,110954
8469,Austin-Healey,100/4 (BN1),1955,68623,6,Convertible,90,2660,4,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,82672
8487,Ferrari,308 GTB,1977,28600,6,Coupe,255,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,121789
8489,Ferrari,330 GT 2+2,1965,63500,6,Coupe,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,304145
8494,Pontiac,Star Chief Convertible,1955,19998,6,Convertible,177,4700,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,47819
8496,Pontiac,Star Chief Convertible,1956,4445,6,Convertible,227,5200,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,60873
8497,Pierce-Arrow,Model 80,1925,110568,6,Saloon (2-doors),70,4700,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,28674
8501,Mercedes-Benz,560 SL,1987,186211,6,Convertible (Roadster),242,5600,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26063
8509,Cockshutt,30,1951,160933,6,Utility Vehicle (Tractor),28,2500,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,13010
8529,Ferrari,575M Maranello,2003,83131,6,Coupe,515,5748,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,221909
8530,Rolls-Royce,Phantom VII DHC,2009,19040,6,Convertible,460,6749,12,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,239139
8532,Lamborghini,Diablo,1991,23397,4,Coupe,492,5707,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,254542
8549,Artega,GT,2009,8998,2,Coupe,300,3597,6,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,78234
8550,BMW,M4 CS,2017,16,1,Coupe,460,2979,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,86936
8558,Mercedes-Benz,190 SL,1962,50823,1,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,130447
8566,Porsche,911 Speedster 3.2,1989,112000,2,Convertible (Roadster),217,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,147069
8589,Mercedes-Benz,220 S Cabriolet,1957,22389,2,Convertible,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,113043
8634,Triumph,TR 6 PI,1972,15949,1,Convertible (Roadster),165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,43468
8663,Lombardi,Grand Prix 850,1970,36000,4,Coupe,47,843,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,32982
8718,Jaguar,Mk II 3.8,1963,76,4,Saloon (4-doors),224,3,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,46035
8738,Porsche,911 Carrera RS,1992,98698,6,Coupe,260,3600,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,184924
8740,Jaguar,XKR,2000,167802,6,Coupe,363,4000,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16969
8778,Jaguar,XK 140 SE DHC,1956,24000,2,Convertible,180,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,100076
8808,BMW,Z8,2000,72486,3,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,187012
8861,Mercedes-Benz,SL 350,2008,132000,3,Convertible (Roadster),245,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,23409
8865,Mercedes-Benz,220 S,1958,4656,3,Saloon (4-doors),106,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,34766
8867,Ferrari,365 GT4 2+2,1973,51199,1,Coupe,340,4390,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,95725
8898,Bentley,Arnage R,2004,121899,6,Saloon (4-doors),456,6750,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24366
8906,Volkswagen,T1 camper,1965,109000,6,Bus (Camper),42,1493,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,43512
8921,Jaguar,XJS 6.0,1995,67000,4,Convertible,302,5994,12,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,37855
8927,Porsche,911 Turbo 3.3,1983,219449,3,Coupe,265,2993,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,147896
8991,Ferrari,328 GTS,1986,76523,6,Convertible (Targa),264,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,107473
9001,Lamborghini,Aventador S,2020,10200,2,Convertible (Roadster),740,6498,12,2,Left (LHD),Semi-Automatic,7,4WD,Disc,Disc,Petrol,399436
9014,Mercedes-Benz,500 SEC,1982,188000,1,Coupe,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26020
9022,Lagonda,"4,5 Liter LG 45 Le Mans",1936,7744,3,Convertible (Roadster),170,4453,6,0,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,251932
9126,Ferrari,348 TS,1991,50926,3,Coupe (Targa),300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,73970
9132,Mercedes-Benz,SL 500,2002,44630,1,Convertible (Roadster),306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26063
9143,Mercedes-Benz,190 SL,1957,56400,2,Convertible (Roadster),105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,108779
9162,Jaguar,Sovereign H.E. V12,1985,71100,2,Saloon (4-doors),295,5343,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,8267
9167,Mercedes-Benz,"SLS AMG GT ""Final Edition""",2014,6759,3,Coupe,591,6208,8,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,430000
9204,Aston Martin,Vanquish Zagato Volante,2018,356,1,Convertible (Roadster),600,5935,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,435000
9208,BMW,328,1938,4884,6,Convertible (Roadster),101,1971,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,199718
9215,Saab,900 Turbo S,1992,293500,6,Convertible,141,1985,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,8659
9241,Buick,40 Special Convertible,1955,21773,6,Convertible,188,4300,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,69575
9251,MG,MGB,1974,122764,6,Convertible (Roadster),101,1800,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,12966
9255,Mercedes-Benz,500 E,1992,272900,1,Saloon (4-doors),326,4973,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,36115
9292,Porsche,911 2.4 T,1973,82453,3,Coupe,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86946
9333,Rolls-Royce,Silver Seraph,2001,37015,1,Saloon (4-doors),326,5379,12,4,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,55000
9356,Porsche,911 Turbo 3.3,1977,63178,6,Coupe,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130099
9408,Porsche,356 B 1600,1962,10046,2,Coupe,60,1582,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,34500
9409,Mercedes-Benz,"280 SE 3,5",1970,111000,2,Coupe,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,130360
9423,Rolls-Royce,Corniche I,1977,31785,4,Convertible,211,6750,8,2,Right (RHD),Automatic,3,Rear,Disc,Disc,Petrol,150000
9437,Bentley,Continental T,1997,18370,2,Coupe,405,6750,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,117481
9475,BMW,Z8,2001,67204,2,Convertible (Roadster),400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,184393
9479,Land Rover,Defender 110,2013,36000,2,4x4,122,2198,4,5,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,51344
9504,BMW,M3 CSL,2004,64790,3,Coupe,360,3246,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,134886
9526,Bentley,Mulsanne Speed,2016,21871,5,Saloon (4-doors),537,6752,8,4,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,100000
9537,Volkswagen,T1 Westfalia,1958,20178,6,Bus (Camper),30,1191,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,64832
9539,Ferrari,308 GTB,1976,96861,6,Coupe,255,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,173611
9541,Porsche,911 SC 3.0,1983,238435,6,Coupe,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,49560
9573,Bentley,Continental GT V8,2013,71787,4,Coupe,507,3993,8,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,78147
9574,Austin-Healey,100/4 (BN1),1955,73971,1,Convertible,90,2660,4,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,102687
9582,BMW,Isetta hunting car,1955,1843,6,Small car (Small Car),12,295,1,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,32634
9659,Lotus,Esprit V8 BiTurbo,1997,54666,6,Coupe,354,3506,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,56565
9667,Porsche,924,1982,74000,2,Coupe,125,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,12618
9680,Jaguar,XKR,2008,124367,1,Coupe,416,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,43337
9685,Land Rover,88,1961,73971,3,4x4 (Open),78,2286,4,2,Left (LHD),Manual,4,4WD,Drum,Drum,Petrol,58741
9746,Ferrari,Testarossa,1986,8333,1,Coupe,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,169695
9809,Mercedes-Benz,220 S b,1963,146000,4,Saloon (4-doors),110,2195,6,4,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,23931
9818,Lamborghini,Murciélago,2003,48174,6,Coupe,580,6192,12,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,234527
9855,Lancia,Aprilia Pininfarina Cabriolet,1947,138,6,Convertible,48,1486,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,239313
9871,Volkswagen,Golf V 3.2 R32,2007,109980,2,Saloon (3-doors),250,3189,6,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,34809
9882,Mercedes-Benz,"450 SEL 6,9",1975,101719,1,Saloon (4-doors),286,6834,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,67443
9885,Alfa Romeo,Montreal,1975,93000,3,Coupe,195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,67617
9886,Mercedes-Benz,"280 SE 3,5",1969,5350,3,Coupe,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,104428
9918,Rolls-Royce,Dawn Black Badge,2018,27842,3,Convertible,601,6592,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,230000
9925,Jaguar,XK8 4.0,1997,160725,3,Convertible,284,3996,8,2,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,17144
9929,Porsche,911 2.7 S,1975,21560,3,Convertible (Targa),175,2687,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,49500
9976,Aston Martin,DB 7 GTA,2003,66777,6,Coupe,420,5935,12,2,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,28000
9998,Ferrari,550 Maranello,1999,76900,6,Coupe,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,115305
10006,Rolls-Royce,Phantom Coupé,2008,40652,5,Coupe,460,6749,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,170000
10007,Rolls-Royce,Cullinan Black Badge,2021,8369,1,4x4,600,6592,12,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,390000
10010,Mercedes-Benz,420 SL,1989,103803,6,Convertible (Roadster),218,4196,8,2,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,80000
10011,Lamborghini,Gallardo,2006,76764,2,Coupe,520,4961,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,81367
10017,Mercedes-Benz,450 SL,1974,120500,3,Convertible (Roadster),182,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,33852
10020,Mercedes-Benz,220,1951,11900,3,Saloon (4-doors),80,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,60829
10024,Mercedes-Benz,380 SL,1981,154000,3,Convertible (Roadster),218,3818,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,28718
10025,Mercedes-Benz,450 SL,1976,75000,3,Convertible (Roadster),182,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,25237
10289,Mercedes-Benz,230 G (SWB),1981,32194,5,4x4,155,2307,4,3,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,77886
10304,Mercedes-Benz,380 SL,1982,41395,6,Convertible (Roadster),158,3793,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,45687
10329,Austin-Healey,Sprite Mk I,1960,21504,6,Convertible (Roadster),44,948,4,2,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,16995
10368,Mercedes-Benz,560 SL,1987,37350,3,Convertible (Roadster),242,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,76145
10375,Mercedes-Benz,380 SL,1982,136416,3,Convertible (Roadster),218,3818,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,18275
10430,Porsche,"911 2.4 T ""Oilflap""",1972,49320,3,Coupe,130,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,94855
10432,Aston Martin,V12 Vanquish,2003,46510,5,Coupe,460,5935,12,2,Right (RHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,55000
10437,Austin-Healey,3000 Mk I (BT7),1960,536,3,Convertible (Roadster),250,2912,6,2,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,165000
10441,Jaguar,XK 150 3.8 S OTS,1959,46482,6,Convertible (Roadster),269,3781,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,338955
10442,Alfa Romeo,SZ,1990,48260,1,Coupe,210,2959,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,69183
10447,Porsche,911 Turbo 3.3,1984,32000,2,Coupe,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,91492
10456,Mercedes-Benz,380 SL,1985,174169,6,Convertible (Roadster),204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,28674
10492,BMW,M3,1991,73971,3,Convertible,215,2302,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
10498,Porsche,911 2.2 S,1970,85750,3,Convertible (Targa),180,2195,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,130457
10506,Mercedes-Benz,300 SEL 6.3,1971,10696,6,Saloon (4-doors),250,6299,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,47428
10508,Bentley,Continental Supersports,2011,38302,6,Convertible,630,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,65000
10521,Mercedes-Benz,"280 SE 3,5",1970,100842,6,Coupe,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,68313
10522,Volkswagen,Beetle 1302,1971,380,6,Convertible,34,1192,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,33504
10553,ISO,Rivolta A3/C,1963,300,1,Coupe,411,5354,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,1122597
10598,Mercedes-Benz,560 SL,1986,49000,2,Convertible (Roadster),230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,52040
10608,Citroën,HY,1977,92578,6,Utility Vehicle,52,1600,4,2,Left (LHD),Manual,3,Front,Drum,Drum,Petrol,29588
10609,AC,Ace,1959,120764,6,Convertible (Roadster),103,1991,8,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,225390
10632,Bentley,Continental GTC,2010,42809,5,Convertible,740,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,60000
10672,Jaguar,XJ-S V12,1986,96047,2,Coupe,295,5345,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,23888
10682,Ferrari,250 GT/E,1964,16839,4,Coupe,240,2953,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,343741
10701,Mercedes-Benz,250 SE,1967,62716,6,Coupe,150,2496,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,63092
10703,Porsche,911 Turbo (WLS),2002,6900,1,Coupe,450,3598,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,113043
10704,Rolls-Royce,Silver Seraph,1999,73971,2,Saloon (4-doors),326,5379,12,4,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,50000
10705,Bentley,Azure Mulliner,2003,24784,5,Convertible,426,6750,8,2,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,130000
10729,Mercedes-Benz,"280 SE 3,5",1971,111378,6,Coupe,200,3499,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,86153
10730,Aston Martin,Vanquish Zagato,2017,3104,1,Coupe,580,5935,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,395000
10760,Victoria,Spatz,1956,54349,6,Small car (Roadster),10,200,1,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,24802
10761,Mercedes-Benz,300 Cabriolet D,1953,51705,6,Convertible,115,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,163168
10762,Mercedes-Benz,300 Cabriolet D,1952,26477,4,Convertible,115,2996,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,199283
10772,Mazda,MX-5 1.5,2015,1637,1,Convertible (Roadster),131,1496,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,23931
10774,Alfa Romeo,2000 Spider Veloce,1982,171043,2,Convertible,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23279
10776,Porsche,356 1300,1955,73971,1,Coupe,44,1290,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,242794
10780,Mercedes-Benz,250,1978,67900,4,Saloon (4-doors),129,2,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24279
10799,Glas,Goggomobil Dart 400,1960,19894,6,Convertible (Roadster),20,392,2,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,27412
10815,Rolls-Royce,Corniche I,1972,131755,3,Convertible,211,6750,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,63092
10822,Glas,Goggomobil TS 250,1969,85769,6,Coupe,14,245,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,24802
10825,Piaggio,Vespa 400,1961,52068,6,Small car (Convertible),14,400,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,17187
10834,Bentley,Flying Spur W12,2013,16576,3,Saloon (4-doors),625,5998,12,4,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,59995
10835,Bentley,Continental GT Supersports,2010,62764,6,Coupe,630,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,46500
10844,Audi,TT 1.8 T,2008,176710,1,Convertible (Roadster),163,1798,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,12966
10851,Alfa Romeo,2000 Spider Veloce,1982,83013,6,Convertible,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,27630
10888,Aston Martin,V12 Vanquish S,2005,29158,3,Coupe,528,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,115000
10908,Aston Martin,Project Vantage,2000,11,1,Coupe,485,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,450000
10951,Triumph,TR 3A,1959,115902,3,Convertible (Roadster),100,2000,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,29501
10968,Mercedes-Benz,500 SL,1983,119895,6,Convertible (Roadster),231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,27804
10998,Porsche,911 2.4 T,1971,73971,2,Coupe,130,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86936
11081,Land Rover,Range Rover Autobiography SDV8,2013,73971,2,4x4,339,4367,8,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Diesel,35995
